dataset,category,image,method,cvd_type,delta_e2000,ssim,ssim_rgb,avg_gradient,entropy
primary27,ishihara,plate01_synthetic,M4_jet,deutan,40.21320,0.09636,0.13878,0.12726,10.58951
primary27,ishihara,plate01_synthetic,M5_hot,deutan,27.80211,0.97781,0.51022,0.10725,5.57701
primary27,ishihara,plate01_synthetic,M5b_turbo,deutan,37.89876,-0.05748,0.04600,0.12634,12.92175
primary27,ishihara,plate01_synthetic,M6_viridis,deutan,25.29388,0.96469,0.48173,0.10016,12.51788
primary27,ishihara,plate01_synthetic,M6b_cividis,deutan,13.83257,0.97075,0.69036,0.10136,11.77719
primary27,ishihara,plate01_synthetic,DE_Cividis,deutan,12.40195,0.99498,0.60437,0.10301,15.91568
primary27,ishihara,plate02_synthetic,M1_intensity_slicing,protan,41.87727,-0.07789,0.06287,0.14503,2.93270
primary27,ishihara,plate02_synthetic,M2_sin_three_phase,protan,35.52871,0.88548,0.28495,0.13017,12.97493
primary27,ishihara,plate02_synthetic,M4_jet,protan,40.20014,0.11283,0.16109,0.12183,10.63431
primary27,ishihara,plate02_synthetic,M5_hot,protan,27.91279,0.97808,0.50631,0.10413,5.58371
primary27,ishihara,plate02_synthetic,M5b_turbo,protan,38.10562,-0.04486,0.05997,0.12224,12.98396
primary27,ishihara,plate02_synthetic,M6_viridis,protan,25.14385,0.96297,0.48237,0.09778,12.33058
primary27,ishihara,plate02_synthetic,M6b_cividis,protan,13.19555,0.97082,0.69394,0.10434,11.66364
primary27,ishihara,plate02_synthetic,DE_Cividis,protan,11.93731,0.99465,0.60615,0.10831,15.91016
primary27,ishihara,plate02_synthetic,M1_intensity_slicing,deutan,41.87727,-0.07789,0.06287,0.14306,2.93270
primary27,ishihara,plate02_synthetic,M2_sin_three_phase,deutan,35.52871,0.88548,0.28495,0.13287,12.97493
primary27,ishihara,plate02_synthetic,M4_jet,deutan,40.20014,0.11283,0.16109,0.12479,10.63431
primary27,ishihara,plate02_synthetic,M5_hot,deutan,27.91279,0.97808,0.50631,0.11014,5.58371
primary27,ishihara,plate02_synthetic,M5b_turbo,deutan,38.10562,-0.04486,0.05997,0.12560,12.98396
primary27,ishihara,plate02_synthetic,M6_viridis,deutan,25.14385,0.96297,0.48237,0.10356,12.33058
primary27,ishihara,plate02_synthetic,M6b_cividis,deutan,13.19555,0.97082,0.69394,0.10454,11.66364
primary27,ishihara,plate02_synthetic,DE_Cividis,deutan,11.93731,0.99465,0.60615,0.10736,15.91016
primary27,ishihara,plate03_synthetic,M1_intensity_slicing,protan,41.62542,-0.07802,0.05971,0.14437,2.86575
primary27,ishihara,plate03_synthetic,M2_sin_three_phase,protan,35.53818,0.88480,0.28895,0.13071,12.84499
primary27,ishihara,plate03_synthetic,M4_jet,protan,40.09269,0.11230,0.15146,0.12459,10.46278
primary27,ishihara,plate03_synthetic,M5_hot,protan,27.94035,0.97754,0.50474,0.10515,5.54853
primary27,ishihara,plate03_synthetic,M5b_turbo,protan,37.87451,-0.04616,0.05263,0.12344,12.87043
primary27,ishihara,plate03_synthetic,M6_viridis,protan,25.17134,0.96302,0.48010,0.09977,12.32675
primary27,ishihara,plate03_synthetic,M6b_cividis,protan,13.30952,0.97080,0.69325,0.10650,11.64866
primary27,ishihara,plate03_synthetic,DE_Cividis,protan,11.91775,0.99488,0.60668,0.11097,15.83174
primary27,ishihara,plate03_synthetic,M1_intensity_slicing,deutan,41.62542,-0.07802,0.05971,0.14283,2.86575
primary27,ishihara,plate03_synthetic,M2_sin_three_phase,deutan,35.53818,0.88480,0.28895,0.13476,12.84499
primary27,ishihara,plate03_synthetic,M4_jet,deutan,40.09269,0.11230,0.15146,0.12730,10.46278
primary27,ishihara,plate03_synthetic,M5_hot,deutan,27.94035,0.97754,0.50474,0.11116,5.54853
primary27,ishihara,plate03_synthetic,M5b_turbo,deutan,37.87451,-0.04616,0.05263,0.12725,12.87043
primary27,ishihara,plate03_synthetic,M6_viridis,deutan,25.17134,0.96302,0.48010,0.10567,12.32675
primary27,ishihara,plate03_synthetic,M6b_cividis,deutan,13.30952,0.97080,0.69325,0.10667,11.64866
primary27,ishihara,plate03_synthetic,DE_Cividis,deutan,11.91775,0.99488,0.60668,0.10960,15.83174
primary27,ishihara,plate05_synthetic,M1_intensity_slicing,protan,37.72884,-0.15137,0.04023,0.13678,3.01673
primary27,ishihara,plate05_synthetic,M2_sin_three_phase,protan,32.84965,0.90114,0.29293,0.11706,14.15394
primary27,ishihara,plate05_synthetic,M4_jet,protan,38.48657,-0.02155,0.04653,0.13066,10.44359
primary27,ishihara,plate05_synthetic,M5_hot,protan,28.23078,0.96958,0.50281,0.09337,5.62237
primary27,ishihara,plate05_synthetic,M5b_turbo,protan,35.28460,-0.10479,0.01904,0.11648,12.67987
primary27,ishihara,plate05_synthetic,M6_viridis,protan,25.76668,0.97028,0.48153,0.09085,13.73466
primary27,ishihara,plate05_synthetic,M6b_cividis,protan,15.87020,0.97070,0.68285,0.09995,12.47695
primary27,ishihara,plate05_synthetic,DE_Cividis,protan,13.86462,0.99533,0.59070,0.10258,16.09164
primary27,ishihara,plate05_synthetic,M1_intensity_slicing,deutan,37.72884,-0.15137,0.04023,0.13566,3.01673
primary27,ishihara,plate05_synthetic,M2_sin_three_phase,deutan,32.84965,0.90114,0.29293,0.12812,14.15394
primary27,ishihara,plate05_synthetic,M4_jet,deutan,38.48657,-0.02155,0.04653,0.13285,10.44359
primary27,ishihara,plate05_synthetic,M5_hot,deutan,28.23078,0.96958,0.50281,0.10049,5.62237
primary27,ishihara,plate05_synthetic,M5b_turbo,deutan,35.28460,-0.10479,0.01904,0.12320,12.67987
primary27,ishihara,plate05_synthetic,M6_viridis,deutan,25.76668,0.97028,0.48153,0.09865,13.73466
primary27,ishihara,plate05_synthetic,M6b_cividis,deutan,15.87020,0.97070,0.68285,0.10001,12.47695
primary27,ishihara,plate05_synthetic,DE_Cividis,deutan,13.86462,0.99533,0.59070,0.10159,16.09164
primary27,ishihara,plate06_synthetic,M1_intensity_slicing,protan,42.70177,-0.07038,0.06270,0.14355,3.01101
primary27,ishihara,plate06_synthetic,M2_sin_three_phase,protan,35.59497,0.88426,0.27977,0.13453,12.81749
primary27,ishihara,plate06_synthetic,M4_jet,protan,40.59258,0.07029,0.14997,0.12847,10.43139
primary27,ishihara,plate06_synthetic,M5_hot,protan,27.70018,0.97985,0.50969,0.10734,5.57772
primary27,ishihara,plate06_synthetic,M5b_turbo,protan,38.86115,-0.06503,0.03814,0.12814,12.88649
primary27,ishihara,plate06_synthetic,M6_viridis,protan,25.15813,0.96235,0.47691,0.10049,12.00918
primary27,ishihara,plate06_synthetic,M6b_cividis,protan,13.18444,0.97022,0.68564,0.10799,11.46092
primary27,ishihara,plate06_synthetic,DE_Cividis,protan,11.99703,0.99474,0.60193,0.11246,15.80818
primary27,ishihara,plate06_synthetic,M1_intensity_slicing,deutan,42.70177,-0.07038,0.06270,0.14272,3.01101
primary27,ishihara,plate06_synthetic,M2_sin_three_phase,deutan,35.59497,0.88426,0.27977,0.13763,12.81749
primary27,ishihara,plate06_synthetic,M4_jet,deutan,40.59258,0.07029,0.14997,0.13161,10.43139
primary27,ishihara,plate06_synthetic,M5_hot,deutan,27.70018,0.97985,0.50969,0.11395,5.57772
primary27,ishihara,plate06_synthetic,M5b_turbo,deutan,38.86115,-0.06503,0.03814,0.13197,12.88649
primary27,ishihara,plate06_synthetic,M6_viridis,deutan,25.15813,0.96235,0.47691,0.10707,12.00918
primary27,ishihara,plate06_synthetic,M6b_cividis,deutan,13.18444,0.97022,0.68564,0.10819,11.46092
primary27,ishihara,plate06_synthetic,DE_Cividis,deutan,11.99703,0.99474,0.60193,0.11064,15.80818
primary27,ishihara,plate08_synthetic,M1_intensity_slicing,protan,41.18175,-0.14202,0.03361,0.15346,2.98827
primary27,ishihara,plate08_synthetic,M2_sin_three_phase,protan,35.25972,0.88888,0.28276,0.13283,13.05296
primary27,ishihara,plate08_synthetic,M4_jet,protan,40.03175,0.06995,0.12413,0.13024,10.66016
primary27,ishihara,plate08_synthetic,M5_hot,protan,27.88178,0.97750,0.50467,0.10921,5.58823
primary27,ishihara,plate08_synthetic,M5b_turbo,protan,37.63738,-0.08611,0.02540,0.12659,12.91514
primary27,ishihara,plate08_synthetic,M6_viridis,protan,25.29399,0.96495,0.47234,0.10525,12.62844
primary27,ishihara,plate08_synthetic,M6b_cividis,protan,13.77606,0.97019,0.68185,0.11204,11.80872
primary27,ishihara,plate08_synthetic,DE_Cividis,protan,12.20966,0.99486,0.59514,0.11563,15.87021
primary27,ishihara,plate08_synthetic,M1_intensity_slicing,deutan,41.18175,-0.14202,0.03361,0.15144,2.98827
primary27,ishihara,plate08_synthetic,M2_sin_three_phase,deutan,35.25972,0.88888,0.28276,0.13892,13.05296
primary27,ishihara,plate08_synthetic,M4_jet,deutan,40.03175,0.06995,0.12413,0.13215,10.66016
primary27,ishihara,plate08_synthetic,M5_hot,deutan,27.88178,0.97750,0.50467,0.11499,5.58823
primary27,ishihara,plate08_synthetic,M5b_turbo,deutan,37.63738,-0.08611,0.02540,0.13097,12.91514
primary27,ishihara,plate08_synthetic,M6_viridis,deutan,25.29399,0.96495,0.47234,0.11114,12.62844
primary27,ishihara,plate08_synthetic,M6b_cividis,deutan,13.77606,0.97019,0.68185,0.11215,11.80872
primary27,ishihara,plate08_synthetic,DE_Cividis,deutan,12.20966,0.99486,0.59514,0.11418,15.87021
primary27,ishihara,plate12_synthetic,M1_intensity_slicing,protan,41.03714,-0.45043,-0.06225,0.24736,2.96449
primary27,ishihara,plate12_synthetic,M2_sin_three_phase,protan,30.95399,0.83612,-0.10282,0.26811,13.36117
primary27,ishihara,plate12_synthetic,M4_jet,protan,37.33923,-0.43384,-0.09017,0.25747,10.60511
primary27,ishihara,plate12_synthetic,M5_hot,protan,31.34339,0.94185,0.32448,0.24127,5.78973
primary27,ishihara,plate12_synthetic,M5b_turbo,protan,37.71443,-0.53117,-0.06629,0.27089,12.63514
primary27,ishihara,plate12_synthetic,M6_viridis,protan,23.86980,0.92574,0.32760,0.20398,11.03318
primary27,ishihara,plate12_synthetic,M6b_cividis,protan,11.11239,0.95483,0.63052,0.21124,11.89596
primary27,ishihara,plate12_synthetic,DE_Cividis,protan,15.47125,0.99155,0.40787,0.21738,18.85330
primary27,ishihara,plate12_synthetic,M1_intensity_slicing,deutan,41.03714,-0.45043,-0.06225,0.26293,2.96449
primary27,ishihara,plate12_synthetic,M2_sin_three_phase,deutan,30.95399,0.83612,-0.10282,0.25340,13.36117
primary27,ishihara,plate12_synthetic,M4_jet,deutan,37.33923,-0.43384,-0.09017,0.25051,10.60511
primary27,ishihara,plate12_synthetic,M5_hot,deutan,31.34339,0.94185,0.32448,0.23727,5.78973
