dataset,category,image,method,cvd_type,delta_e2000,ssim,ssim_rgb,avg_gradient,entropy
external_kodak24,kodak-extra,kodim06,M6_viridis,protan,22.67283,0.88398,0.46818,0.09165,17.98078
external_kodak24,kodak-extra,kodim06,M6b_cividis,protan,12.47998,0.96206,0.79556,0.08404,19.00062
external_kodak24,kodak-extra,kodim06,DE_Cividis,protan,14.26976,0.99056,0.60505,0.09375,20.89888
external_kodak24,kodak-extra,kodim06,M1_intensity_slicing,deutan,46.66934,0.21408,0.12504,0.08177,4.75105
external_kodak24,kodak-extra,kodim06,M2_sin_three_phase,deutan,33.19336,0.25925,0.18994,0.10089,20.92858
external_kodak24,kodak-extra,kodim06,M4_jet,deutan,42.01361,0.54903,0.15629,0.08271,14.00800
external_kodak24,kodak-extra,kodim06,M5_hot,deutan,29.08097,0.95414,0.39095,0.08185,9.13700
external_kodak24,kodak-extra,kodim06,M5b_turbo,deutan,44.05083,0.49758,0.13956,0.07093,19.81644
external_kodak24,kodak-extra,kodim06,M6_viridis,deutan,22.67283,0.88398,0.46818,0.08558,17.98078
external_kodak24,kodak-extra,kodim06,M6b_cividis,deutan,12.47998,0.96206,0.79556,0.08452,19.00062
external_kodak24,kodak-extra,kodim06,DE_Cividis,deutan,14.26976,0.99056,0.60505,0.09822,20.89888
external_kodak24,kodak-extra,kodim07,M1_intensity_slicing,protan,43.75916,0.46226,0.20741,0.09662,3.57739
external_kodak24,kodak-extra,kodim07,M2_sin_three_phase,protan,36.04043,0.17562,0.23476,0.06886,19.76129
external_kodak24,kodak-extra,kodim07,M4_jet,protan,40.25736,0.75207,0.34173,0.11050,13.78680
external_kodak24,kodak-extra,kodim07,M5_hot,protan,30.62622,0.96625,0.37017,0.06316,8.04857
external_kodak24,kodak-extra,kodim07,M5b_turbo,protan,42.10462,0.71731,0.31827,0.07982,18.59430
external_kodak24,kodak-extra,kodim07,M6_viridis,protan,21.62410,0.88710,0.51077,0.07311,15.79051
external_kodak24,kodak-extra,kodim07,M6b_cividis,protan,8.10526,0.96623,0.84216,0.06268,16.91861
external_kodak24,kodak-extra,kodim07,DE_Cividis,protan,9.13234,0.99535,0.74243,0.06804,20.37669
external_kodak24,kodak-extra,kodim07,M1_intensity_slicing,deutan,43.75916,0.46226,0.20741,0.09813,3.57739
external_kodak24,kodak-extra,kodim07,M2_sin_three_phase,deutan,36.04043,0.17562,0.23476,0.07836,19.76129
external_kodak24,kodak-extra,kodim07,M4_jet,deutan,40.25736,0.75207,0.34173,0.10562,13.78680
external_kodak24,kodak-extra,kodim07,M5_hot,deutan,30.62622,0.96625,0.37017,0.06718,8.04857
external_kodak24,kodak-extra,kodim07,M5b_turbo,deutan,42.10462,0.71731,0.31827,0.09074,18.59430
external_kodak24,kodak-extra,kodim07,M6_viridis,deutan,21.62410,0.88710,0.51077,0.06462,15.79051
external_kodak24,kodak-extra,kodim07,M6b_cividis,deutan,8.10526,0.96623,0.84216,0.06282,16.91861
external_kodak24,kodak-extra,kodim07,DE_Cividis,deutan,9.13234,0.99535,0.74243,0.07156,20.37669
external_kodak24,kodak-extra,kodim08,M1_intensity_slicing,protan,45.57927,0.03046,0.01441,0.17820,4.86909
external_kodak24,kodak-extra,kodim08,M2_sin_three_phase,protan,35.16733,0.14819,0.06250,0.16405,21.33560
external_kodak24,kodak-extra,kodim08,M4_jet,protan,40.97582,0.29054,0.06000,0.19705,14.08095
external_kodak24,kodak-extra,kodim08,M5_hot,protan,29.37909,0.95893,0.36737,0.14556,9.33313
external_kodak24,kodak-extra,kodim08,M5b_turbo,protan,43.75938,0.21397,0.01436,0.16368,20.40154
external_kodak24,kodak-extra,kodim08,M6_viridis,protan,22.69834,0.87601,0.36941,0.13771,18.41718
external_kodak24,kodak-extra,kodim08,M6b_cividis,protan,12.83597,0.95085,0.69624,0.13682,19.24675
external_kodak24,kodak-extra,kodim08,DE_Cividis,protan,15.31803,0.99162,0.53897,0.14520,21.61883
external_kodak24,kodak-extra,kodim08,M1_intensity_slicing,deutan,45.57927,0.03046,0.01441,0.16404,4.86909
external_kodak24,kodak-extra,kodim08,M2_sin_three_phase,deutan,35.16733,0.14819,0.06250,0.17418,21.33560
external_kodak24,kodak-extra,kodim08,M4_jet,deutan,40.97582,0.29054,0.06000,0.17375,14.08095
external_kodak24,kodak-extra,kodim08,M5_hot,deutan,29.37909,0.95893,0.36737,0.13080,9.33313
external_kodak24,kodak-extra,kodim08,M5b_turbo,deutan,43.75938,0.21397,0.01436,0.15927,20.40154
external_kodak24,kodak-extra,kodim08,M6_viridis,deutan,22.69834,0.87601,0.36941,0.13611,18.41718
external_kodak24,kodak-extra,kodim08,M6b_cividis,deutan,12.83597,0.95085,0.69624,0.13626,19.24675
external_kodak24,kodak-extra,kodim08,DE_Cividis,deutan,15.31803,0.99162,0.53897,0.15182,21.61883
external_kodak24,kodak-extra,kodim09,M1_intensity_slicing,protan,41.11665,0.42582,0.27400,0.05952,3.55086
external_kodak24,kodak-extra,kodim09,M2_sin_three_phase,protan,34.62971,0.51034,0.34104,0.05898,19.66206
external_kodak24,kodak-extra,kodim09,M4_jet,protan,38.71990,0.70170,0.39787,0.05877,14.18693
external_kodak24,kodak-extra,kodim09,M5_hot,protan,30.66302,0.96762,0.45350,0.05543,8.05859
external_kodak24,kodak-extra,kodim09,M5b_turbo,protan,38.68548,0.65139,0.42348,0.04739,18.60152
external_kodak24,kodak-extra,kodim09,M6_viridis,protan,22.81353,0.92172,0.59757,0.05461,16.70633
external_kodak24,kodak-extra,kodim09,M6b_cividis,protan,9.21520,0.97556,0.87648,0.05178,17.28396
external_kodak24,kodak-extra,kodim09,DE_Cividis,protan,9.99230,0.99562,0.77173,0.05578,20.28817
external_kodak24,kodak-extra,kodim09,M1_intensity_slicing,deutan,41.11665,0.42582,0.27400,0.05650,3.55086
external_kodak24,kodak-extra,kodim09,M2_sin_three_phase,deutan,34.62971,0.51034,0.34104,0.07134,19.66206
external_kodak24,kodak-extra,kodim09,M4_jet,deutan,38.71990,0.70170,0.39787,0.05091,14.18693
external_kodak24,kodak-extra,kodim09,M5_hot,deutan,30.66302,0.96762,0.45350,0.04863,8.05859
external_kodak24,kodak-extra,kodim09,M5b_turbo,deutan,38.68548,0.65139,0.42348,0.04848,18.60152
external_kodak24,kodak-extra,kodim09,M6_viridis,deutan,22.81353,0.92172,0.59757,0.05227,16.70633
external_kodak24,kodak-extra,kodim09,M6b_cividis,deutan,9.21520,0.97556,0.87648,0.05159,17.28396
external_kodak24,kodak-extra,kodim09,DE_Cividis,deutan,9.99230,0.99562,0.77173,0.05823,20.28817
external_kodak24,kodak-extra,kodim10,M1_intensity_slicing,protan,43.02621,0.36757,0.22837,0.05930,3.77720
external_kodak24,kodak-extra,kodim10,M2_sin_three_phase,protan,33.72069,0.42598,0.23345,0.06031,19.85263
external_kodak24,kodak-extra,kodim10,M4_jet,protan,40.81166,0.65785,0.30517,0.06508,14.47238
external_kodak24,kodak-extra,kodim10,M5_hot,protan,30.88438,0.96034,0.37848,0.04950,8.12038
external_kodak24,kodak-extra,kodim10,M5b_turbo,protan,41.23753,0.61377,0.32828,0.05004,18.79641
external_kodak24,kodak-extra,kodim10,M6_viridis,protan,21.64636,0.91043,0.56648,0.04875,16.29409
external_kodak24,kodak-extra,kodim10,M6b_cividis,protan,8.00801,0.97066,0.85565,0.04509,17.63770
external_kodak24,kodak-extra,kodim10,DE_Cividis,protan,8.63230,0.99418,0.75474,0.05172,20.43228
external_kodak24,kodak-extra,kodim10,M1_intensity_slicing,deutan,43.02621,0.36757,0.22837,0.05832,3.77720
external_kodak24,kodak-extra,kodim10,M2_sin_three_phase,deutan,33.72069,0.42598,0.23345,0.07280,19.85263
external_kodak24,kodak-extra,kodim10,M4_jet,deutan,40.81166,0.65785,0.30517,0.05985,14.47238
external_kodak24,kodak-extra,kodim10,M5_hot,deutan,30.88438,0.96034,0.37848,0.04416,8.12038
external_kodak24,kodak-extra,kodim10,M5b_turbo,deutan,41.23753,0.61377,0.32828,0.04997,18.79641
external_kodak24,kodak-extra,kodim10,M6_viridis,deutan,21.64636,0.91043,0.56648,0.04519,16.29409
external_kodak24,kodak-extra,kodim10,M6b_cividis,deutan,8.00801,0.97066,0.85565,0.04505,17.63770
external_kodak24,kodak-extra,kodim10,DE_Cividis,deutan,8.63230,0.99418,0.75474,0.05450,20.43228
external_kodak24,kodak-extra,kodim11,M1_intensity_slicing,protan,42.41655,0.44092,0.15707,0.08563,3.43659
external_kodak24,kodak-extra,kodim11,M2_sin_three_phase,protan,39.08036,0.07780,0.14504,0.07027,19.04235
external_kodak24,kodak-extra,kodim11,M4_jet,protan,40.40139,0.76700,0.24279,0.09079,13.03398
external_kodak24,kodak-extra,kodim11,M5_hot,protan,29.79730,0.96180,0.30990,0.06539,7.90038
external_kodak24,kodak-extra,kodim11,M5b_turbo,protan,42.68604,0.69842,0.25030,0.06902,18.05174
external_kodak24,kodak-extra,kodim11,M6_viridis,protan,21.63679,0.84805,0.49343,0.08191,15.51761
external_kodak24,kodak-extra,kodim11,M6b_cividis,protan,8.74271,0.94058,0.79290,0.07065,16.59476
external_kodak24,kodak-extra,kodim11,DE_Cividis,protan,9.94028,0.98847,0.66086,0.07618,19.50564
external_kodak24,kodak-extra,kodim11,M1_intensity_slicing,deutan,42.41655,0.44092,0.15707,0.08763,3.43659
external_kodak24,kodak-extra,kodim11,M2_sin_three_phase,deutan,39.08036,0.07780,0.14504,0.08808,19.04235
external_kodak24,kodak-extra,kodim11,M4_jet,deutan,40.40139,0.76700,0.24279,0.08446,13.03398
external_kodak24,kodak-extra,kodim11,M5_hot,deutan,29.79730,0.96180,0.30990,0.06938,7.90038
external_kodak24,kodak-extra,kodim11,M5b_turbo,deutan,42.68604,0.69842,0.25030,0.07560,18.05174
external_kodak24,kodak-extra,kodim11,M6_viridis,deutan,21.63679,0.84805,0.49343,0.07272,15.51761
external_kodak24,kodak-extra,kodim11,M6b_cividis,deutan,8.74271,0.94058,0.79290,0.07114,16.59476
external_kodak24,kodak-extra,kodim11,DE_Cividis,deutan,9.94028,0.98847,0.66086,0.07900,19.50564
external_kodak24,kodak-extra,kodim12,M1_intensity_slicing,protan,37.49236,0.25449,0.25926,0.08252,3.79337
external_kodak24,kodak-extra,kodim12,M2_sin_three_phase,protan,31.30947,0.73642,0.30663,0.07637,19.74445
external_kodak24,kodak-extra,kodim12,M4_jet,protan,36.48503,0.35734,0.23894,0.06543,12.34414
external_kodak24,kodak-extra,kodim12,M5_hot,protan,29.86161,0.95372,0.47971,0.05414,8.33726
external_kodak24,kodak-extra,kodim12,M5b_turbo,protan,35.38218,0.30945,0.27814,0.06220,18.24491
external_kodak24,kodak-extra,kodim12,M6_viridis,protan,25.02608,0.95189,0.59264,0.04576,18.81308
external_kodak24,kodak-extra,kodim12,M6b_cividis,protan,15.94058,0.97538,0.82095,0.04558,18.20522
external_kodak24,kodak-extra,kodim12,DE_Cividis,protan,15.90218,0.99118,0.68634,0.04861,19.89812
external_kodak24,kodak-extra,kodim12,M1_intensity_slicing,deutan,37.49236,0.25449,0.25926,0.06987,3.79337
external_kodak24,kodak-extra,kodim12,M2_sin_three_phase,deutan,31.30947,0.73642,0.30663,0.08057,19.74445
external_kodak24,kodak-extra,kodim12,M4_jet,deutan,36.48503,0.35734,0.23894,0.05524,12.34414
external_kodak24,kodak-extra,kodim12,M5_hot,deutan,29.86161,0.95372,0.47971,0.05028,8.33726
external_kodak24,kodak-extra,kodim12,M5b_turbo,deutan,35.38218,0.30945,0.27814,0.05805,18.24491
external_kodak24,kodak-extra,kodim12,M6_viridis,deutan,25.02608,0.95189,0.59264,0.04548,18.81308
external_kodak24,kodak-extra,kodim12,M6b_cividis,deutan,15.94058,0.97538,0.82095,0.04559,18.20522
external_kodak24,kodak-extra,kodim12,DE_Cividis,deutan,15.90218,0.99118,0.68634,0.05060,19.89812
external_kodak24,kodak-extra,kodim13,M1_intensity_slicing,protan,45.62240,0.11797,-0.00450,0.16280,4.16053
external_kodak24,kodak-extra,kodim13,M2_sin_three_phase,protan,35.11912,-0.05375,0.03606,0.13632,20.71535
external_kodak24,kodak-extra,kodim13,M4_jet,protan,41.27617,0.43350,0.06041,0.18062,13.76590
external_kodak24,kodak-extra,kodim13,M5_hot,protan,30.11633,0.95091,0.27807,0.11693,8.86997
external_kodak24,kodak-extra,kodim13,M5b_turbo,protan,44.26476,0.38951,-0.00870,0.12832,19.95631
external_kodak24,kodak-extra,kodim13,M6_viridis,protan,21.54597,0.85313,0.33659,0.11886,17.37166
external_kodak24,kodak-extra,kodim13,M6b_cividis,protan,10.86517,0.94811,0.72000,0.11096,18.33588
external_kodak24,kodak-extra,kodim13,DE_Cividis,protan,13.21073,0.98868,0.48968,0.11955,21.39140
external_kodak24,kodak-extra,kodim13,M1_intensity_slicing,deutan,45.62240,0.11797,-0.00450,0.15153,4.16053
external_kodak24,kodak-extra,kodim13,M2_sin_three_phase,deutan,35.11912,-0.05375,0.03606,0.14214,20.71535
external_kodak24,kodak-extra,kodim13,M4_jet,deutan,41.27617,0.43350,0.06041,0.16416,13.76590
external_kodak24,kodak-extra,kodim13,M5_hot,deutan,30.11633,0.95091,0.27807,0.11256,8.86997
external_kodak24,kodak-extra,kodim13,M5b_turbo,deutan,44.26476,0.38951,-0.00870,0.12817,19.95631
external_kodak24,kodak-extra,kodim13,M6_viridis,deutan,21.54597,0.85313,0.33659,0.11193,17.37166
external_kodak24,kodak-extra,kodim13,M6b_cividis,deutan,10.86517,0.94811,0.72000,0.11046,18.33588
external_kodak24,kodak-extra,kodim13,DE_Cividis,deutan,13.21073,0.98868,0.48968,0.12591,21.39140
external_kodak24,kodak-extra,kodim14,M1_intensity_slicing,protan,42.16326,0.29525,0.07069,0.12652,4.22607
external_kodak24,kodak-extra,kodim14,M2_sin_three_phase,protan,38.75713,-0.05170,0.09462,0.09461,20.78659
external_kodak24,kodak-extra,kodim14,M4_jet,protan,39.22937,0.65297,0.14501,0.12567,13.44928
external_kodak24,kodak-extra,kodim14,M5_hot,protan,29.82523,0.95404,0.26565,0.08158,8.61405
external_kodak24,kodak-extra,kodim14,M5b_turbo,protan,42.00185,0.54414,0.11487,0.10180,19.75129
external_kodak24,kodak-extra,kodim14,M6_viridis,protan,22.16536,0.84247,0.40212,0.09322,17.49329
external_kodak24,kodak-extra,kodim14,M6b_cividis,protan,11.78369,0.94086,0.74999,0.07848,17.92629
external_kodak24,kodak-extra,kodim14,DE_Cividis,protan,12.99145,0.99075,0.56866,0.08552,21.18204
external_kodak24,kodak-extra,kodim14,M1_intensity_slicing,deutan,42.16326,0.29525,0.07069,0.12554,4.22607
external_kodak24,kodak-extra,kodim14,M2_sin_three_phase,deutan,38.75713,-0.05170,0.09462,0.10116,20.78659
external_kodak24,kodak-extra,kodim14,M4_jet,deutan,39.22937,0.65297,0.14501,0.12185,13.44928
external_kodak24,kodak-extra,kodim14,M5_hot,deutan,29.82523,0.95404,0.26565,0.08569,8.61405
external_kodak24,kodak-extra,kodim14,M5b_turbo,deutan,42.00185,0.54414,0.11487,0.09748,19.75129
external_kodak24,kodak-extra,kodim14,M6_viridis,deutan,22.16536,0.84247,0.40212,0.08047,17.49329
external_kodak24,kodak-extra,kodim14,M6b_cividis,deutan,11.78369,0.94086,0.74999,0.07879,17.92629
external_kodak24,kodak-extra,kodim14,DE_Cividis,deutan,12.99145,0.99075,0.56866,0.09003,21.18204
external_kodak24,kodak-extra,kodim15,M1_intensity_slicing,protan,45.28841,0.39067,0.21789,0.09445,4.82986
external_kodak24,kodak-extra,kodim15,M2_sin_three_phase,protan,41.61440,0.27456,0.29642,0.06063,20.74430
external_kodak24,kodak-extra,kodim15,M4_jet,protan,40.84074,0.62228,0.20850,0.08184,11.09687
external_kodak24,kodak-extra,kodim15,M5_hot,protan,25.82029,0.97442,0.37997,0.04286,9.27035
external_kodak24,kodak-extra,kodim15,M5b_turbo,protan,45.23472,0.51008,0.23644,0.07349,19.77429
external_kodak24,kodak-extra,kodim15,M6_viridis,protan,24.44053,0.87797,0.59704,0.04983,18.89250
external_kodak24,kodak-extra,kodim15,M6b_cividis,protan,18.48925,0.92893,0.75713,0.04424,18.60313
external_kodak24,kodak-extra,kodim15,DE_Cividis,protan,18.24957,0.98615,0.68770,0.04567,19.46944
external_kodak24,kodak-extra,kodim15,M1_intensity_slicing,deutan,45.28841,0.39067,0.21789,0.09229,4.82986
external_kodak24,kodak-extra,kodim15,M2_sin_three_phase,deutan,41.61440,0.27456,0.29642,0.05041,20.74430
external_kodak24,kodak-extra,kodim15,M4_jet,deutan,40.84074,0.62228,0.20850,0.07855,11.09687
external_kodak24,kodak-extra,kodim15,M5_hot,deutan,25.82029,0.97442,0.37997,0.05008,9.27035
external_kodak24,kodak-extra,kodim15,M5b_turbo,deutan,45.23472,0.51008,0.23644,0.06993,19.77429
external_kodak24,kodak-extra,kodim15,M6_viridis,deutan,24.44053,0.87797,0.59704,0.04505,18.89250
external_kodak24,kodak-extra,kodim15,M6b_cividis,deutan,18.48925,0.92893,0.75713,0.04485,18.60313
external_kodak24,kodak-extra,kodim15,DE_Cividis,deutan,18.24957,0.98615,0.68770,0.04769,19.46944
external_kodak24,kodak-extra,kodim16,M1_intensity_slicing,protan,44.51323,0.38455,0.20354,0.09090,3.74828
external_kodak24,kodak-extra,kodim16,M2_sin_three_phase,protan,35.62853,0.18962,0.19668,0.05201,20.15717
external_kodak24,kodak-extra,kodim16,M4_jet,protan,40.57748,0.66822,0.27677,0.10167,13.70740
external_kodak24,kodak-extra,kodim16,M5_hot,protan,30.55649,0.96201,0.31629,0.05549,8.51730
external_kodak24,kodak-extra,kodim16,M5b_turbo,protan,43.66964,0.65166,0.25604,0.06352,19.37295
external_kodak24,kodak-extra,kodim16,M6_viridis,protan,21.44568,0.89477,0.54269,0.07423,16.64249
external_kodak24,kodak-extra,kodim16,M6b_cividis,protan,9.44095,0.96303,0.83840,0.06341,17.76843
external_kodak24,kodak-extra,kodim16,DE_Cividis,protan,9.75718,0.99326,0.68561,0.06576,20.73580
external_kodak24,kodak-extra,kodim16,M1_intensity_slicing,deutan,44.51323,0.38455,0.20354,0.09297,3.74828
external_kodak24,kodak-extra,kodim16,M2_sin_three_phase,deutan,35.62853,0.18962,0.19668,0.05604,20.15717
external_kodak24,kodak-extra,kodim16,M4_jet,deutan,40.57748,0.66822,0.27677,0.09940,13.70740
external_kodak24,kodak-extra,kodim16,M5_hot,deutan,30.55649,0.96201,0.31629,0.07069,8.51730
external_kodak24,kodak-extra,kodim16,M5b_turbo,deutan,43.66964,0.65166,0.25604,0.07087,19.37295
external_kodak24,kodak-extra,kodim16,M6_viridis,deutan,21.44568,0.89477,0.54269,0.06573,16.64249
external_kodak24,kodak-extra,kodim16,M6b_cividis,deutan,9.44095,0.96303,0.83840,0.06393,17.76843
external_kodak24,kodak-extra,kodim16,DE_Cividis,deutan,9.75718,0.99326,0.68561,0.06878,20.73580
external_kodak24,kodak-extra,kodim17,M1_intensity_slicing,protan,41.07747,0.40932,0.10529,0.09395,4.23862
external_kodak24,kodak-extra,kodim17,M2_sin_three_phase,protan,44.55127,0.04959,0.15173,0.06853,20.24062
external_kodak24,kodak-extra,kodim17,M4_jet,protan,38.68759,0.73961,0.16021,0.08729,12.60776
external_kodak24,kodak-extra,kodim17,M5_hot,protan,28.14779,0.96405,0.23936,0.05610,8.33483
external_kodak24,kodak-extra,kodim17,M5b_turbo,protan,41.00523,0.55644,0.18456,0.07716,19.57495
external_kodak24,kodak-extra,kodim17,M6_viridis,protan,22.64728,0.81130,0.48084,0.06359,17.18683
external_kodak24,kodak-extra,kodim17,M6b_cividis,protan,13.45368,0.89871,0.70250,0.05620,17.24697
external_kodak24,kodak-extra,kodim17,DE_Cividis,protan,13.81398,0.98093,0.61658,0.06054,20.17434
external_kodak24,kodak-extra,kodim17,M1_intensity_slicing,deutan,41.07747,0.40932,0.10529,0.09397,4.23862
external_kodak24,kodak-extra,kodim17,M2_sin_three_phase,deutan,44.55127,0.04959,0.15173,0.07002,20.24062
external_kodak24,kodak-extra,kodim17,M4_jet,deutan,38.68759,0.73961,0.16021,0.08489,12.60776
external_kodak24,kodak-extra,kodim17,M5_hot,deutan,28.14779,0.96405,0.23936,0.06024,8.33483
external_kodak24,kodak-extra,kodim17,M5b_turbo,deutan,41.00523,0.55644,0.18456,0.07321,19.57495
external_kodak24,kodak-extra,kodim17,M6_viridis,deutan,22.64728,0.81130,0.48084,0.05724,17.18683
external_kodak24,kodak-extra,kodim17,M6b_cividis,deutan,13.45368,0.89871,0.70250,0.05615,17.24697
external_kodak24,kodak-extra,kodim17,DE_Cividis,deutan,13.81398,0.98093,0.61658,0.06320,20.17434
external_kodak24,kodak-extra,kodim18,M1_intensity_slicing,protan,43.68210,0.35015,0.10035,0.16052,3.26552
external_kodak24,kodak-extra,kodim18,M2_sin_three_phase,protan,41.85239,-0.21797,0.13594,0.09754,19.32699
external_kodak24,kodak-extra,kodim18,M4_jet,protan,39.04757,0.69697,0.17281,0.15441,10.54612
external_kodak24,kodak-extra,kodim18,M5_hot,protan,29.05712,0.96675,0.21105,0.07851,7.83374
external_kodak24,kodak-extra,kodim18,M5b_turbo,protan,44.75809,0.61753,0.14025,0.11411,18.89321
external_kodak24,kodak-extra,kodim18,M6_viridis,protan,21.95574,0.84445,0.45258,0.09622,16.79324
external_kodak24,kodak-extra,kodim18,M6b_cividis,protan,13.91920,0.93556,0.74502,0.08056,16.30195
external_kodak24,kodak-extra,kodim18,DE_Cividis,protan,14.40894,0.99122,0.59281,0.08694,19.79650
external_kodak24,kodak-extra,kodim18,M1_intensity_slicing,deutan,43.68210,0.35015,0.10035,0.15711,3.26552
external_kodak24,kodak-extra,kodim18,M2_sin_three_phase,deutan,41.85239,-0.21797,0.13594,0.08812,19.32699
external_kodak24,kodak-extra,kodim18,M4_jet,deutan,39.04757,0.69697,0.17281,0.15250,10.54612
external_kodak24,kodak-extra,kodim18,M5_hot,deutan,29.05712,0.96675,0.21105,0.09449,7.83374
external_kodak24,kodak-extra,kodim18,M5b_turbo,deutan,44.75809,0.61753,0.14025,0.11807,18.89321
external_kodak24,kodak-extra,kodim18,M6_viridis,deutan,21.95574,0.84445,0.45258,0.08352,16.79324
external_kodak24,kodak-extra,kodim18,M6b_cividis,deutan,13.91920,0.93556,0.74502,0.08175,16.30195
external_kodak24,kodak-extra,kodim18,DE_Cividis,deutan,14.40894,0.99122,0.59281,0.09175,19.79650
external_kodak24,kodak-extra,kodim19,M1_intensity_slicing,protan,44.59539,0.24419,0.15955,0.11865,3.98048
external_kodak24,kodak-extra,kodim19,M2_sin_three_phase,protan,34.36519,0.30915,0.16739,0.10195,20.55497
external_kodak24,kodak-extra,kodim19,M4_jet,protan,40.26513,0.52992,0.23208,0.11167,14.17461
external_kodak24,kodak-extra,kodim19,M5_hot,protan,30.81516,0.96112,0.34105,0.08284,8.79409
external_kodak24,kodak-extra,kodim19,M5b_turbo,protan,42.64986,0.49777,0.19855,0.09925,19.81060
external_kodak24,kodak-extra,kodim19,M6_viridis,protan,21.73608,0.90772,0.52785,0.07890,17.17596
external_kodak24,kodak-extra,kodim19,M6b_cividis,protan,9.72809,0.96517,0.81230,0.07898,18.31644
external_kodak24,kodak-extra,kodim19,DE_Cividis,protan,10.36184,0.99440,0.69708,0.08335,21.39630
external_kodak24,kodak-extra,kodim19,M1_intensity_slicing,deutan,44.59539,0.24419,0.15955,0.10928,3.98048
external_kodak24,kodak-extra,kodim19,M2_sin_three_phase,deutan,34.36519,0.30915,0.16739,0.10083,20.55497
external_kodak24,kodak-extra,kodim19,M4_jet,deutan,40.26513,0.52992,0.23208,0.09852,14.17461
external_kodak24,kodak-extra,kodim19,M5_hot,deutan,30.81516,0.96112,0.34105,0.07933,8.79409
external_kodak24,kodak-extra,kodim19,M5b_turbo,deutan,42.64986,0.49777,0.19855,0.08411,19.81060
external_kodak24,kodak-extra,kodim19,M6_viridis,deutan,21.73608,0.90772,0.52785,0.07965,17.17596
external_kodak24,kodak-extra,kodim19,M6b_cividis,deutan,9.72809,0.96517,0.81230,0.07900,18.31644
external_kodak24,kodak-extra,kodim19,DE_Cividis,deutan,10.36184,0.99440,0.69708,0.08684,21.39630
external_kodak24,kodak-extra,kodim20,M1_intensity_slicing,protan,52.29337,0.32320,0.32750,0.06230,4.58559
external_kodak24,kodak-extra,kodim20,M2_sin_three_phase,protan,35.27048,0.46462,0.37620,0.04967,18.09627
external_kodak24,kodak-extra,kodim20,M4_jet,protan,52.16552,0.44044,0.19354,0.06954,10.54175
external_kodak24,kodak-extra,kodim20,M5_hot,protan,17.29442,0.97955,0.63697,0.03657,8.22159
external_kodak24,kodak-extra,kodim20,M5b_turbo,protan,54.67022,0.41466,0.20058,0.05497,16.69084
external_kodak24,kodak-extra,kodim20,M6_viridis,protan,26.09560,0.92411,0.60187,0.04139,16.18485
external_kodak24,kodak-extra,kodim20,M6b_cividis,protan,21.30975,0.96468,0.77476,0.03815,15.98672
external_kodak24,kodak-extra,kodim20,DE_Cividis,protan,21.12613,0.99002,0.73469,0.04026,14.93323
external_kodak24,kodak-extra,kodim20,M1_intensity_slicing,deutan,52.29337,0.32320,0.32750,0.06001,4.58559
external_kodak24,kodak-extra,kodim20,M2_sin_three_phase,deutan,35.27048,0.46462,0.37620,0.04850,18.09627
external_kodak24,kodak-extra,kodim20,M4_jet,deutan,52.16552,0.44044,0.19354,0.06591,10.54175
external_kodak24,kodak-extra,kodim20,M5_hot,deutan,17.29442,0.97955,0.63697,0.03953,8.22159
external_kodak24,kodak-extra,kodim20,M5b_turbo,deutan,54.67022,0.41466,0.20058,0.05742,16.69084
external_kodak24,kodak-extra,kodim20,M6_viridis,deutan,26.09560,0.92411,0.60187,0.03871,16.18485
external_kodak24,kodak-extra,kodim20,M6b_cividis,deutan,21.30975,0.96468,0.77476,0.03817,15.98672
external_kodak24,kodak-extra,kodim20,DE_Cividis,deutan,21.12613,0.99002,0.73469,0.04182,14.93323
external_kodak24,kodak-extra,kodim21,M1_intensity_slicing,protan,43.38572,0.44947,0.22491,0.10064,3.88120
external_kodak24,kodak-extra,kodim21,M2_sin_three_phase,protan,36.42012,0.29206,0.27636,0.07579,19.80304
external_kodak24,kodak-extra,kodim21,M4_jet,protan,40.01895,0.73216,0.36560,0.10306,13.70707
external_kodak24,kodak-extra,kodim21,M5_hot,protan,30.06802,0.96760,0.40187,0.07079,8.14337
external_kodak24,kodak-extra,kodim21,M5b_turbo,protan,41.80520,0.65539,0.33946,0.07445,18.49877
external_kodak24,kodak-extra,kodim21,M6_viridis,protan,22.15881,0.90035,0.52859,0.07259,15.90380
external_kodak24,kodak-extra,kodim21,M6b_cividis,protan,8.64586,0.96747,0.83708,0.06487,16.87797
external_kodak24,kodak-extra,kodim21,DE_Cividis,protan,9.62025,0.99381,0.70613,0.07215,20.24754
external_kodak24,kodak-extra,kodim21,M1_intensity_slicing,deutan,43.38572,0.44947,0.22491,0.09869,3.88120
external_kodak24,kodak-extra,kodim21,M2_sin_three_phase,deutan,36.42012,0.29206,0.27636,0.08056,19.80304
external_kodak24,kodak-extra,kodim21,M4_jet,deutan,40.01895,0.73216,0.36560,0.09769,13.70707
external_kodak24,kodak-extra,kodim21,M5_hot,deutan,30.06802,0.96760,0.40187,0.06915,8.14337
external_kodak24,kodak-extra,kodim21,M5b_turbo,deutan,41.80520,0.65539,0.33946,0.07514,18.49877
external_kodak24,kodak-extra,kodim21,M6_viridis,deutan,22.15881,0.90035,0.52859,0.06549,15.90380
external_kodak24,kodak-extra,kodim21,M6b_cividis,deutan,8.64586,0.96747,0.83708,0.06474,16.87797
